zone_id,observation_count,total_precipitation,mean_precipitation,max_precipitation,wet_intervals,pct_wet_intervals,grid_lat,grid_lon,latitude,longitude
89,36,0.0,0.0,0.0,0,0.0,40.645,-73.965,40.641,-73.9627
90,36,0.0,0.0,0.0,0,0.0,40.745,-73.995,40.7425,-73.9968
91,36,0.0,0.0,0.0,0,0.0,40.625,-73.935,40.6274,-73.9325
92,36,0.0,0.0,0.0,0,0.0,40.765,-73.835,40.7641,-73.8304
93,36,0.0,0.0,0.0,0,0.0,40.735,-73.845,40.7392,-73.8419
94,36,0.0,0.0,0.0,0,0.0,40.855,-73.905,40.8583,-73.9006
95,36,0.0,0.0,0.0,0,0.0,40.725,-73.845,40.7235,-73.8482
96,36,0.0,0.0,0.0,0,0.0,40.695,-73.875,40.6958,-73.876
97,36,0.0,0.0,0.0,0,0.0,40.695,-73.975,40.6906,-73.9756
98,36,0.0,0.0,0.0,0,0.0,40.735,-73.775,40.7338,-73.7796
99,36,0.0,0.0,0.0,0,0.0,40.575,-74.185,40.5796,-74.1877
100,36,0.0,0.0,0.0,0,0.0,40.755,-73.985,40.7535,-73.9888
101,36,0.0,0.0,0.0,0,0.0,40.745,-73.705,40.7437,-73.7091
102,36,0.0,0.0,0.0,0,0.0,40.705,-73.885,40.7027,-73.882
106,36,0.0,0.0,0.0,0,0.0,40.675,-73.995,40.6734,-73.9918
107,36,0.0,0.0,0.0,0,0.0,40.735,-73.985,40.7373,-73.9833
108,36,0.0,0.0,0.0,0,0.0,40.585,-73.985,40.5891,-73.9804
109,36,0.0,0.0,0.0,0,0.0,40.545,-74.155,40.5488,-74.1527
110,36,0.0,0.0,0.0,0,0.0,40.545,-74.125,40.5433,-74.1258
111,36,0.0,0.0,0.0,0,0.0,40.655,-73.995,40.6521,-73.991
112,36,0.0,0.0,0.0,0,0.0,40.725,-73.945,40.7288,-73.9485
113,36,0.0,0.0,0.0,0,0.0,40.735,-73.995,40.7325,-73.9946
114,36,0.0,0.0,0.0,0,0.0,40.725,-73.995,40.7286,-73.9987
115,36,0.0,0.0,0.0,0,0.0,40.625,-74.095,40.6201,-74.0925
116,36,0.0,0.0,0.0,0,0.0,40.825,-73.945,40.8275,-73.9474
117,36,0.0,0.0,0.0,0,0.0,40.595,-73.775,40.5961,-73.7761
118,36,0.0,0.0,0.0,0,0.0,40.585,-74.135,40.5856,-74.1371
119,36,0.0,0.0,0.0,0,0.0,40.835,-73.925,40.8367,-73.927
120,36,0.0,0.0,0.0,0,0.0,40.845,-73.935,40.846,-73.9308
121,36,0.0,0.0,0.0,0,0.0,40.725,-73.795,40.7273,-73.7997
122,36,0.0,0.0,0.0,0,0.0,40.715,-73.765,40.7111,-73.7616
123,36,0.0,0.0,0.0,0,0.0,40.605,-73.965,40.6002,-73.9652
124,36,0.0,0.0,0.0,0,0.0,40.655,-73.855,40.6596,-73.85
125,36,0.0,0.0,0.0,0,0.0,40.725,-74.005,40.7254,-74.0072
